Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0046364-0073752,25,clothing,Identical,25,outerclothing for boys,Garments and articles of dress for covering the human body,Outerclothing for boys
0016133-0037142,3,nail strengtheners,Dissimilar,8,cutlery,Non-medicated nail strengthener preparations,Hand-operated cutlery for eating
0012514-0046311,39,transport,Identical,39,transport by water,Transportation services,Water transport services
0019852-0048108,9,sound reproduction apparatus,Identical,9,teaching apparatus and instruments,Electronic apparatus for the reproduction of sound,Educational apparatus and instruments for teaching
0047275-0003320,32,must,Dissimilar,31,"citrus fruit, fresh","Unfermented fruit juice, namely, must (grape must)",Fresh citrus fruit [unprocessed]
0071943-0059192,9,fire extinguishers,Dissimilar,9,data processing apparatus,Portable fire extinguishers for suppressing small fires,Electronic apparatus for processing data
0039539-0047073,31,aromatic sand [litter] for pets,Dissimilar,31,grains [cereals],Aromatic granular material for use as pet litter,Raw and unprocessed cereal grains
0031765-0048124,30,starch for food,Dissimilar,29,cooked fruits,"Starch, being an edible powder for food preparation",Edible cooked fruits for human consumption
0025459-0007191,34,matches,Similar,34,match holders,Small wooden or cardboard sticks with a chemical head for producing fire by friction,Receptacles for storing and dispensing matches
0030502-0046577,3,cosmetics,Dissimilar,10,teething rings,Non-medicated cosmetics for beauty and personal care,Rings for soothing infants' teething discomfort
0072794-0006231,30,syrups and treacles,Dissimilar,31,"fruit, fresh",Sweetened food syrups and treacles,Fresh fruit (unprocessed)
0072797-0007633,31,foodstuffs and fodder for animals,Identical,31,pet food,Prepared foodstuffs and fodder for animal consumption,Prepared foodstuffs for domestic animals
0027788-0058660,1,wallpaper removing preparations,Dissimilar,2,colorants,Chemical solutions for removing wallpaper,Chemical substances for imparting color to materials
0030240-0057779,41,subtitling,Dissimilar,41,training,Subtitling services for audiovisual content,Services for providing training
0047733-0047939,9,"optical devices, enhancers and correctors",Dissimilar,28,sporting articles and equipment,Physical optical apparatus and instruments for enhancing and correcting images,Sporting articles and equipment for gymnastic and athletic activities.
0048124-0012320,29,cooked fruits,Dissimilar,30,vinegar,Edible cooked fruits for human consumption,Edible vinegar for food and condiment purposes
0047743-0047795,9,information technology and audiovisual equipment,Dissimilar,11,refrigerating and freezing equipment,Electronic apparatus and instruments for information technology and audiovisual purposes,Apparatus and equipment for refrigerating and freezing
0046364-0037118,25,clothing,Identical,25,sleeveless jerseys,Garments and articles of dress for covering the human body,Sleeveless jerseys for upper body wear
0047797-0047896,11,personal heating and drying implements,Dissimilar,19,"structures and transportable buildings, not of metal",Electric implements and apparatus for personal heating and drying,Non-metal structures and transportable buildings
0016148-0056598,33,wine,Identical,33,strawberry wine,Wine [alcoholic beverage],"Alcoholic beverages, namely, strawberry wine"
0048137-0035550,42,industrial analysis services,Similar,42,computer system design,Services providing scientific and technical analysis for industrial purposes,Computer system design and development services
0043508-0058084,20,furniture,Identical,20,chaise longues,Movable articles of furniture,Furniture seating for reclining and resting with extended legs
0060256-0019852,9,headphones,Identical,9,sound reproduction apparatus,Personal audio headphones,Electronic apparatus for the reproduction of sound
0072755-0057874,13,guns [weapons],Similar,13,gunstocks,Firearms for use as weapons,"Structural component parts of firearms, namely, gunstocks"
0072755-0011774,13,guns [weapons],Similar,13,hammers for guns and rifles,Firearms for use as weapons,"Firearm components, namely, hammers for guns and rifles"
0069899-0047583,9,wearable activity trackers,High similar,9,computers,"Electronic measuring and data recording devices, namely, wearable activity trackers, for monitoring and recording physical activity and health metrics","Electronic data processing apparatus, namely, computers"
0035209-0015006,16,notelets,Identical,16,printed matter,Small paper sheets or pads for writing notes,"Paper or cardboard articles bearing text, images, or designs produced by printing"
0025734-0047267,12,vehicles,Similar,12,"safety seats for children, for vehicles","Apparatus for locomotion by land, air, or water, for conveying people or goods","Child restraint apparatus, namely, safety seats for children, for use in vehicles"
0047788-0048076,10,orthopedic and mobility aids,Similar,44,human healthcare services,Orthopaedic articles and assistive devices for mobility,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care"
0023769-0002684,29,meat extracts,High similar,29,soups,Meat extracts for food,Prepared soups
0011809-0072390,26,hair pins,Dissimilar,25,footwear,"Hair accessories, namely, hair pins",Articles of footwear for covering and protecting the feet
0013808-0031401,20,beds,Dissimilar,20,inflatable pillows [other than for medical use] for fitting around the neck,Furniture in the nature of beds for sleeping,"Inflatable neck pillows, not for medical purposes, for comfort and support"
0028550-0072799,31,foodstuffs for farm animals,Identical,31,fodder,Foodstuffs in the nature of prepared animal feed for farm animals,Agricultural fodder for animal consumption
0046772-0002024,30,sauces [condiments],Dissimilar,30,spring rolls,Edible sauces for use as condiments,"Prepared food items, namely spring rolls"
0025734-0020519,12,vehicles,Identical,12,commercial vehicles,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Land vehicles for commercial use
0073918-0047797,9,scientific and laboratory devices for treatment using electricity,Dissimilar,11,personal heating and drying implements,Electrical scientific and laboratory apparatus for treatment,Electric implements and apparatus for personal heating and drying
0047665-0047789,5,dental preparations and articles,Similar,10,prosthetics and artificial implants,"Medical-grade chemical preparations and articles for dental purposes, including fillings, waxes, and impression materials",Artificial prosthetics and implants for medical and cosmetic purposes
0034916-0047110,41,organization of lotteries,Identical,41,gambling services,Organization of lottery gaming services,Entertainment services in the nature of gambling
0058929-0077117,9,video cassettes,Identical,9,data storage devices and media,Analogue magnetic tape cassettes for video recording,Electronic data storage devices and recording media
GSCSup-0117692-0034816,14,clocks and other chronometric instruments,Identical,14,alarm clocks,"Horological and chronometric instruments, namely, clocks and other time-measuring devices",Horological instrument with an alarm function
0042465-0072811,38,telecommunication services,Identical,38,telephone services,Services for transmitting and receiving information via telecommunication networks,Telecommunications service for telephone communication
0048103-0040365,9,measuring apparatus and instruments,Identical,9,taximeters,Scientific and technical apparatus and instruments for measuring,"Electronic measuring and calculating devices, namely, taximeters"
0003653-0035972,29,aloe vera prepared for human consumption,Dissimilar,29,milk products,Prepared aloe vera for human consumption [foodstuff],"Edible food substances derived from milk, namely, milk products"
0003734-0071842,5,salts for medical purposes,Identical,5,pharmaceuticals,Chemical salts for medical preparations,Medicinal substances and drugs (pharmaceuticals)
0058757-0014764,1,fertilizers,Dissimilar,1,sensitized plates for offset printing,Chemical or organic fertilizers for agricultural and horticultural use,"Plates coated with photosensitive chemicals, used for creating images in offset printing processes"
0009856-0008293,44,human hygiene and beauty care,Identical,44,services for the care of the face,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings",Hygienic and beauty care services for the face
0058848-0050422,9,computer software,Similar,9,closed circuit television cameras,Recorded and downloadable computer software,"Electronic visual recording apparatus, namely, closed-circuit television (CCTV) cameras"
0059490-0057178,43,services for providing food and drink,Identical,43,food preparation services,"Hospitality services, namely, services for providing food and drink",Services for preparing food for others
0035550-0018109,42,computer system design,Identical,42,design and development of computer hardware,Computer system design and development services,Services for the design and development of computer hardware
0014135-0059169,3,tailors' wax,Dissimilar,3,cakes of toilet soap,"Waxy preparations for tailors, for marking fabric or lubricating needles",Non-medicated solid toilet soap for personal cleansing and hygiene
0037277-0008069,18,leather and imitations of leather,Dissimilar,25,heelpieces for stockings,"Processed leather and synthetic imitations thereof, for manufacturing",Fabric heelpieces for use in the manufacture or repair of stockings.
0047314-0048105,7,vending machines,Dissimilar,9,signalling apparatus and instruments,"Automatic machines for dispensing products, namely, vending machines",Scientific and technical apparatus and instruments for signalling
0040920-0046162,30,sago,Dissimilar,30,sugar,"Starchy food product, namely sago","Crystalline foodstuff used for sweetening, namely sugar"
0048109-0039589,12,apparatus for locomotion by air,Dissimilar,12,dress guards for bicycles,Vehicles and apparatus for locomotion by air,"Protective coverings, namely, dress guards, for bicycles"
0072421-0035442,30,spices,High similar,30,mustard,Aromatic plant-derived spices for food flavoring,"Prepared food condiment, namely, mustard"
0007449-0011344,35,dissemination of advertising for others via the internet,Similar,35,organization of exhibitions for commercial or advertising purposes,Advertising services for spreading promotional messages for third parties via the Internet,Business organizational services for the planning and conducting of trade shows and exhibitions for commercial or advertising purposes
0016334-0035442,30,sausage binding materials,Dissimilar,30,mustard,Food-grade binding materials for use in sausages,"Prepared food condiment, namely, mustard"
0046364-0018616,25,clothing,Identical,25,tennis shorts,Garments and articles of dress for covering the human body,Shorts for playing tennis
0046364-0067166,25,clothing,Identical,25,dance clothing,Garments and articles of dress for covering the human body,Articles of clothing for dancing
0012048-0024767,30,baking powder,Dissimilar,30,rice-based snack food,Baking powder for use as a leavening agent,Prepared edible snack food made primarily from rice
0030502-0073882,3,cosmetics,Identical,3,"skin, eye and nail care preparations",Non-medicated cosmetics for beauty and personal care,"Non-medicated cosmetic and toiletry preparations for caring for skin, eyes, and nails"
0059256-0072422,29,meat,Dissimilar,30,seasonings,Edible animal flesh for human consumption,Food seasonings for enhancing flavor
0024747-0002744,4,lighting fuel,Identical,4,paraffin,Combustible fuel for generating light,Paraffin wax and liquid paraffin for industrial or fuel use
0033491-0041416,7,electrical apparatus for sealing plastics [packaging],Dissimilar,9,calculators,Electrical apparatus for sealing plastic packaging materials,Electronic calculating devices
0058865-0058391,3,toilet water,Dissimilar,3,sandpaper,Non-medicated liquid perfumery preparation for imparting a scent to the body,Abrasive paper for smoothing and finishing surfaces
0004141-0022248,29,frozen vegetables,Dissimilar,30,rice,Prepared and preserved frozen vegetables for food,"Cereal grain, namely, rice"
0030502-0006204,3,cosmetics,Identical,3,cleansing milk for toilet purposes,Non-medicated cosmetics for beauty and personal care,Non-medicated cleansing milk for cosmetic toilet purposes
0015146-0052173,35,business administration,Dissimilar,35,negotiation of business contracts for others,"Professional services relating to the management, organization, and administration of businesses",Professional services for negotiating business contracts on behalf of third parties
0047743-0035716,9,information technology and audiovisual equipment,Similar,42,design services,Electronic apparatus and instruments for information technology and audiovisual purposes,Professional services for the creation and development of designs
0059049-0023365,9,spectacle cases,Dissimilar,9,cash registers,Protective cases for spectacles (eyeglasses),Electronic accounting apparatus for recording and calculating sales transactions and handling cash
0012583-0018418,29,jellies for food,Dissimilar,30,propolis,Edible fruit jellies for food,Propolis for food purposes
0058836-0038661,18,travelling bags,Dissimilar,28,bags specially adapted for sports equipment,Handbags for carrying personal belongings during travel,Carrying bags specially adapted for sports equipment
0035342-0032167,10,dental apparatus and instruments,Dissimilar,10,love dolls [sex dolls],Specialized apparatus and instruments for dental examinations and treatments,"Sexual activity apparatus, namely, love dolls [sex dolls]"
0011483-0071841,5,veterinary preparations,Identical,5,pharmaceutical preparations,Pharmaceutical and medicinal preparations for veterinary use,Medicinal pharmaceutical preparations for human or veterinary use
0046364-0057616,25,clothing,Identical,25,teddies [underclothing],Garments and articles of dress for covering the human body,Teddies in the nature of underclothing
0071940-0078171,9,surveyors' levels,Identical,9,measuring devices,Surveyors' levels for geodetic measurement,Scientific and technical measuring instruments and apparatus
0057778-0051189,41,teaching,Identical,41,conducting of conventions,Educational services in the field of teaching,Event management services for conventions
0002855-0007773,15,turning apparatus for sheet music,Similar,15,musical instruments,Mechanical or electronic devices for turning pages of sheet music for musicians during performance,Physical musical instruments
0020646-0014759,1,chemicals used in science,Dissimilar,1,"reagent paper, other than for medical or veterinary purposes",Chemical substances for scientific and laboratory use,"Chemically treated paper for use as a reagent in industrial and scientific analysis, other than for medical or veterinary purposes"
0033313-0030637,9,cleaning apparatus for phonograph records,Dissimilar,9,surveying apparatus and instruments,Cleaning apparatus specifically designed for phonograph records,Scientific apparatus and instruments for surveying
0058848-0005652,9,computer software,Identical,9,servers for web hosting,Recorded and downloadable computer software,Computer hardware apparatus for use as web hosting servers
0059484-0057786,30,cakes,Similar,30,crackers,"Baked desserts, namely, cakes",Baked savory crackers made from cereals
0019917-GSCSup-0136276,36,financial management,Similar,36,evaluation financial insurance,Services for financial management and administration,Evaluation services relating to financial insurance
0028946-0002242,29,fish-based foodstuffs,Identical,29,fish cakes,Prepared foodstuffs predominantly made from fish,Prepared fish cakes for human consumption
0025613-0019905,33,alcoholic beverages (except beer),Similar,32,stout,"Potable alcoholic beverages, excluding beer",Stout beer
0011809-0057677,26,hair pins,Dissimilar,18,harness for animals,"Hair accessories, namely, hair pins",Harness for animals
0073976-0000434,30,"food flavourings, other than essential oils",Dissimilar,30,tapioca,Non-essential oil food flavourings,Edible tapioca [foodstuff]
0001874-0028967,9,sound transmitting apparatus,Dissimilar,9,naval signalling apparatus,Electronic audio devices for transmitting sound signals,Signalling apparatus for naval use
0045063-0058197,3,non-slipping wax for floors,Dissimilar,3,dentifrices,Chemical preparation in the nature of non-slipping wax for polishing floors,"Non-medicated preparations, namely, dentifrices"
0014217-0021547,28,scale model vehicles,Dissimilar,39,packaging and storage of goods,"Toys, namely, scale model vehicles",Commercial services for the packaging and storage of goods
0023769-0048125,29,meat extracts,Dissimilar,30,preparations made from cereals,Meat extracts for food,Edible food preparations made from cereals
0047026-0010321,30,tea,Dissimilar,32,vegetable drinks,Dried tea leaves for making beverages,Non-alcoholic vegetable drinks
0072795-0047609,30,golden syrup,Dissimilar,30,bread,Golden food syrup,"Baked food product, namely, bread"
0059049-0024490,9,spectacle cases,Dissimilar,9,weighing apparatus and instruments,Protective cases for spectacles (eyeglasses),Weighing apparatus and instruments
0032522-0057028,9,fuse holders,Dissimilar,7,steam cleaning machines,Electrical fuse holders for circuits,Power-operated steam cleaning machines
0047692-0047735,7,dispensing machines,Dissimilar,9,"navigation, guidance, tracking, targeting and map making devices",Automatic dispensing machines for industrial and commercial use,"Electronic and mechanical apparatus and instruments for navigation, guidance, tracking, targeting, and map making"
0042510-0012735,16,debit cards without magnetic coding,Dissimilar,36,financial analysis,Non-magnetic debit cards for financial transactions (as printed matter/stationery items),Professional financial analysis services
0001603-0040449,32,extracts of hops for making beer,Identical,32,non-alcoholic preparations for making beverages,Hop extracts for use in making beer,Non-alcoholic concentrates for beverage preparation
0024767-0072418,30,rice-based snack food,Dissimilar,29,compotes,Prepared edible snack food made primarily from rice,"Sweetened fruit preparations, namely, compotes"
0047463-0000434,29,dried fruit,Dissimilar,30,tapioca,"Preserved food products, namely, dried fruit",Edible tapioca [foodstuff]
0046364-0009373,25,clothing,Identical,25,suits,Garments and articles of dress for covering the human body,Suits [clothing]
0059171-0012585,3,soap,Low similar,21,steelwool,Preparations in the nature of soap for cleaning and washing,Steel wool for cleaning purposes
0015055-0071842,5,peptones for pharmaceutical purposes,Identical,5,pharmaceuticals,"Peptones, chemical compounds for pharmaceutical preparations",Medicinal substances and drugs (pharmaceuticals)
0023245-0048074,36,safe deposit services,Dissimilar,45,personal and social services,Banking services for providing secure storage for valuables,Professional services for personal and social support.
0048125-0057786,30,preparations made from cereals,Identical,30,crackers,Edible food preparations made from cereals,Baked savory crackers made from cereals
0048094-0002666,5,materials for dressings,Identical,5,bandages for dressings,Medical materials for surgical and wound dressings,Medical bandages for covering and protecting wounds as surgical dressings
0036005-0015601,35,arranging subscriptions to telecommunication services for others,Identical,35,secretarial and clerical services,Business administration services for arranging subscriptions to telecommunication services for others,Professional secretarial and clerical administrative services
0044287-0009856,10,hearing protection devices,Dissimilar,44,human hygiene and beauty care,Hearing protection devices for personal safety and therapeutic purposes,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings"
0047694-0022650,7,machines and machine tools for treatment of materials and for manufacturing,Dissimilar,9,diving equipment,Power-operated machines and machine tools for industrial material treatment and manufacturing processes,Apparatus and instruments for facilitating underwater exploration and activity
0014120-0019734,20,mattresses,Similar,20,pillows,"Padded articles for beds, namely, mattresses",Cushioned pillows for supporting the head
0040447-0016828,32,beer,Dissimilar,33,kirsch,Alcoholic beer,Alcoholic kirsch beverage
0000478-0009872,41,arranging and conducting of symposiums,Identical,41,arranging and conducting conferences and seminars,Services for arranging and conducting educational and professional symposiums,Services for arranging and conducting educational and training conferences and seminars
0047651-0047666,3,tailors' and cobblers' wax,Dissimilar,5,dietary supplements and dietetic preparations,Wax-based preparations for tailors' fabric treatment and cobblers' shoe and leather care,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals
0057778-0010819,41,teaching,Identical,41,education academy services for teaching languages,Educational services in the field of teaching,Education academy services for teaching languages
0030502-0057374,3,cosmetics,Identical,3,"talcum powder, for toilet use",Non-medicated cosmetics for beauty and personal care,Non-medicated talcum powder for toilet use
0045403-0058811,18,whips,Dissimilar,18,walking stick handles,"Flexible striking device, namely whips, for equestrian use",Handles for walking sticks
0037549-0004141,30,preparations for stiffening whipped cream,Dissimilar,29,frozen vegetables,Food preparations for stiffening whipped cream,Prepared and preserved frozen vegetables for food
0059154-0059367,11,"coffee percolators, electric",Similar,11,kitchen ranges [ovens],Electric coffee percolators for brewing coffee,Kitchen ranges incorporating ovens
0043311-0056380,29,seafood [not live],Identical,29,dried prawns,"Seafood, not live, for human consumption","Dried prawns, for food"
0039782-0025738,5,disinfectants,Dissimilar,4,petroleum jelly for industrial purposes,Chemical preparations in the nature of disinfectants,Petroleum jelly for industrial lubrication and protective applications
0059527-0048072,3,abrasives,Dissimilar,44,"agriculture, aquaculture, horticulture and forestry services","Chemical or mineral preparations, namely, abrasives for grinding, polishing and cleaning","Professional services in the fields of agriculture, aquaculture, horticulture, and forestry"
0058876-0048134,9,optical discs,Dissimilar,42,technological services and research relating thereto,"Blank digital or analogue optical discs for recording and storing sound, images, or data","Professional technological services, including research and development, and technical consultation"
0004304-0046276,35,business consultancy and advisory services,Low similar,35,marketing,Business consultancy and advisory services,Professional business services in the field of marketing and promotion
0037549-0048124,30,preparations for stiffening whipped cream,Dissimilar,29,cooked fruits,Food preparations for stiffening whipped cream,Edible cooked fruits for human consumption
0004122-0016577,35,office functions services,Dissimilar,10,gloves for dental use,Business administrative services for office functions,Protective gloves for dental procedures
0060073-0060076,34,liquid solutions for use in electronic cigarettes,Identical,34,"flavourings, other than essential oils, for use in electronic cigarettes",Refillable liquid preparations for electronic cigarettes,"Chemical preparations, other than essential oils, namely, flavourings, for use in electronic cigarettes"
0059049-0057058,9,spectacle cases,Similar,9,spectacles,Protective cases for spectacles (eyeglasses),Spectacles for vision correction
0039782-0036090,5,disinfectants,Dissimilar,5,blood for medical purposes,Chemical preparations in the nature of disinfectants,"Biological preparation, namely, blood, for medical and diagnostic purposes"
0011715-0042064,3,ethereal oils,Identical,3,rose oil,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy",Essential rose oil for perfumery and cosmetic purposes
0002024-0013151,30,spring rolls,Dissimilar,30,flour,"Prepared food items, namely spring rolls",Milled grain flour for food preparation
0033491-0024490,7,electrical apparatus for sealing plastics [packaging],Dissimilar,9,weighing apparatus and instruments,Electrical apparatus for sealing plastic packaging materials,Weighing apparatus and instruments
0058993-0048121,26,false hair,Dissimilar,26,pins,Artificial hairpieces for cosmetic use,Small fastening and decorative pins for haberdashery and hair
0024818-0025559,7,"motors, other than for land vehicles",Similar,7,"control cables for machines, engines or motors","Power-generating motors and engines, excluding those for land vehicles","Cables for controlling the operation of machines, engines, or motors"
0059067-0047515,32,fruit drinks,Low similar,29,frozen fruits,Non-alcoholic beverages made from fruit,"Preserved food products, namely, frozen fruits"
0047696-0047726,7,moving and handling equipment,Dissimilar,8,hand-operated hygienic and beauty implements for humans and animals,Power-operated machines and equipment for moving and handling materials and objects,Hand-operated implements for human and animal hygienic and beauty care
0040761-0007875,29,eggs,Dissimilar,29,pollen prepared as foodstuff,Eggs for food,Processed pollen for use as a foodstuff.
0006404-0052027,5,sanitary preparations for medical purposes,Identical,5,antibacterial handwashes,"Medical sanitary preparations for hygiene, infection prevention, and therapeutic support",Antibacterial handwashes for medical or sanitary purposes
0008370-0044168,17,gutta-percha,Dissimilar,22,"padding materials, not of rubber, plastics, paper or cardboard",Gutta-percha for industrial purposes,"Padding, cushioning and stuffing materials, not of rubber, plastics, paper or cardboard"
0021929-0048104,9,apparatus for recording images,Dissimilar,9,checking (supervision) apparatus and instruments,Electronic apparatus for recording images,Scientific and technical apparatus and instruments for checking and supervision
0014074-0047463,30,binding agents for ice cream,Dissimilar,29,dried fruit,"Food additives, namely, binding agents for stabilizing ice cream","Preserved food products, namely, dried fruit"
0047841-0047898,17,"seals, sealants and fillers",Dissimilar,19,"statues and works of art made of materials such as stone, concrete and marble, included in the class","Seals, sealants, and fillers made of materials like rubber or plastics, for creating closures and filling gaps.","Statues and works of art, not of metal, for use as architectural elements or monuments"
0029914-0046472,29,oils for food,Dissimilar,29,"vegetables, cooked",Edible oils for food preparation and consumption,Edible vegetable foodstuffs prepared by cooking
0059484-0029936,30,cakes,Similar,30,chips [cereal products],"Baked desserts, namely, cakes","Edible processed cereal products, namely, breakfast cereal chips"
0047742-0048031,9,recorded content,Similar,42,"testing, authentication and quality control",Recorded and downloadable content in digital media format,"Scientific and technological services for testing, authentication, and quality control"
0057908-0059290,3,perfumes,Dissimilar,25,gloves [clothing],"Fragrant liquid preparations, namely, perfumes","Articles of clothing, namely, gloves"
GSCSup-0119207-0045195,36,insurances,Similar,36,real estate trustee services,Insurance services,Real estate trustee and fiduciary services
0040761-0047515,29,eggs,Dissimilar,29,frozen fruits,Eggs for food,"Preserved food products, namely, frozen fruits"
0025613-GSCSup-0147246,33,alcoholic beverages (except beer),Identical,33,premixed alcoholic beverages,"Potable alcoholic beverages, excluding beer",Premixed alcoholic beverages
0047737-0072390,9,"scientific research and laboratory apparatus, educational apparatus and simulators",Dissimilar,25,footwear,"Scientific research and laboratory apparatus, educational apparatus, and simulators (hardware and software)",Articles of footwear for covering and protecting the feet
0031765-0040761,30,starch for food,Dissimilar,29,eggs,"Starch, being an edible powder for food preparation",Eggs for food
0059256-0047980,29,meat,Dissimilar,32,beer and brewery products,Edible animal flesh for human consumption,"Beer and other alcoholic brewery products, specifically alcoholic beverages for human consumption."
0032309-0071842,5,jalap,Identical,5,pharmaceuticals,Pharmaceutical preparation of jalap for medicinal use,Medicinal substances and drugs (pharmaceuticals)
0047965-0072797,30,"baked goods, confectionery, chocolate and desserts",Dissimilar,31,foodstuffs and fodder for animals,"Baked goods, confectionery, chocolate, and desserts for human consumption.",Prepared foodstuffs and fodder for animal consumption
0032059-0035029,7,moulds [parts of machines],Dissimilar,7,"machine couplings and transmissions, except for land vehicles","Moulds, being specific parts for machines used in manufacturing","Machine coupling and transmission components, excluding those for land vehicles"
0057382-0010187,9,decorative magnets,Dissimilar,9,apparatus for the reproduction of images,Decorative magnets,Electronic apparatus for the reproduction of images
0020733-0047463,30,sushi,Dissimilar,29,dried fruit,Prepared food in the nature of sushi,"Preserved food products, namely, dried fruit"
0071842-0002862,5,pharmaceuticals,Identical,5,analgesics,Medicinal substances and drugs (pharmaceuticals),Pharmaceutical preparations for pain relief (analgesics)
0047650-0029504,3,body cleaning and beauty care preparations,Dissimilar,29,milk,Non-medicated chemical preparations for body cleansing and beauty care,Milk for food and beverage consumption
0047735-0047849,9,"navigation, guidance, tracking, targeting and map making devices",Dissimilar,16,"bags and articles for packaging, wrapping and storage, of paper, cardboard or plastics","Electronic and mechanical apparatus and instruments for navigation, guidance, tracking, targeting, and map making","Bags, films, sheets, and other articles of paper, cardboard, or plastics for packaging, wrapping, and storage."
0020884-0044045,30,instant ice cream mixes,Similar,30,soya based ice cream products,Instant mixes for making ice cream,"Edible frozen dessert products with a soya base, resembling ice cream"
0018819-0025702,18,saddlery,Dissimilar,18,umbrella handles,Saddlery [equestrian equipment],"Component handles for umbrellas, for gripping and carrying"
0047533-0058197,3,laundry bleach,Dissimilar,3,dentifrices,"Chemical preparations for laundry use, namely, laundry bleach","Non-medicated preparations, namely, dentifrices"
0048076-0028736,44,human healthcare services,Identical,44,lymphodrainage services,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Therapeutic lymphodrainage services for human beings
0058841-0058840,18,suitcases,Identical,18,luggage,Travel suitcases,Containers for storing and transporting personal belongings during travel
0006619-0030981,9,lens,Identical,9,optical goods,Optical component for focusing or dispersing light in optical apparatus,"Optical apparatus and instruments for scientific, photographic, and vision correction purposes"
0035881-0031993,12,apparatus for locomotion by water,Similar,12,rudders,Vehicles and apparatus for locomotion by water,Steering devices for directing the course of watercraft
