Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Vitamin preparations,Nutritional or medicinal substances,Supplementing dietary intake of vitamins or treating vitamin deficiencies for human or animal health.,Dietary supplements and pharmaceutical preparations containing vitamins,"Class 5 covers 'Pharmaceuticals, medical and veterinary preparations' and 'dietary supplements for human beings and animals'. Vitamin preparations fall directly under dietary supplements and medical preparations. Meaning 1 (dietary supplements) and Meaning 2 (medical injections) are both consistent with Class 5. Meaning 3 (cosmetic products) would be Class 3."
Laundry soaking preparations,Chemical cleaning preparations,"Softening, loosening dirt, or pre-treating fabrics before washing.","Chemical preparations for laundry use, namely, laundry soaking preparations","Class 3 includes 'bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations'. 'Laundry soaking preparations' are clearly substances for laundry use. Meaning 1 (chemicals used to pretreat laundry) is the correct interpretation. Meaning 2 (services) would be Class 37. Meaning 3 (containers) would be in other classes."
Ethereal oils,Aromatic liquid compositions,"Providing fragrance in perfumery, cosmetics, or for aromatherapy purposes.","Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy","Class 3 explicitly lists 'perfumery, essential oils'. 'Ethereal oils' is a common synonym for essential oils. Meaning 1 (essential oils for perfumery or aromatherapy) is a direct and correct fit. Meaning 2 (industrial oils) would be Class 4. Meaning 3 (metaphysical) is not a product."
Hammers for guns and rifles,Firearm component,Striking the firing pin or primer to ignite the propellant in a firearm.,"Firearm components, namely, hammers for guns and rifles",Class 13 is 'Firearms; ammunition and projectiles'. 'Hammers for guns and rifles' are internal components integral to the functioning of firearms. Meaning 1 (components of firearms) is the accurate interpretation. Meaning 2 (tools) would be Class 8. Meaning 3 (hammer weapon) would also be Class 8.
Hair pins,Hair accessory/fastener,Securing or decorating hair styles.,"Hair accessories, namely, hair pins",Class 26 includes 'pins and needles' and 'hair decorations'. 'Hair pins' fit both descriptions perfectly. Meaning 1 (pins used to hold hair in place) is the correct and common understanding. Meanings 2 and 3 are rejected as not fitting the general meaning within this class.
DVDs,Digital optical storage media,"Storing digital data, including movies, music, software, and other information for playback or installation.","Recorded digital versatile discs (DVDs) for storing and reproducing sound, images, or data","Class 9 mentions 'recorded and downloadable media, computer software, blank digital or analogue recording and storage media'. DVDs are a type of recorded digital storage medium. Meaning 1 (discs for storing data, movies, or software) is a perfect fit. Meaning 2 (DVD players) refers to the apparatus, not the media. Meaning 3 (specific movie title) is content, not the physical medium itself."
Thermally insulated clothing,Article of clothing,Providing thermal insulation to protect the wearer from cold or maintain body temperature.,"Articles of clothing, namely, thermally insulated clothing","Class 25 is 'Clothing, footwear, headwear'. 'Thermally insulated clothing' is a specific type of clothing. Meaning 1 (garments designed to retain heat) is the direct and accurate interpretation. Meaning 2 (materials) would be Class 17. Meaning 3 (containers) would be in different classes."
Shoe repair,Service,Mending and restoring footwear,Shoe repair services,"Class 37 explicitly includes ""repair services."" The ""act of mending shoes"" and ""a business/service that mends shoes"" align perfectly. ""Tools used for repairing shoes"" would be a physical good (Class 8, 7, etc.), which contradicts the service class. Therefore, it refers to the service."
Agriculture services,Services,Providing assistance and expertise in agricultural cultivation and production,Agricultural cultivation and production services,"Class 44 explicitly lists ""agriculture, aquaculture, horticulture and forestry services."" This directly matches the first brainstorming point. The other points refer to goods, not services, and are mismatched with the class description."
Dolls,Toy figures,Providing amusement and imaginative play for children,Toy dolls,"Class 28 clearly mentions ""Games, toys and playthings."" Dolls as toys fit this perfectly. Voodoo dolls (Class 14 for charms/amulets or Class 28 if purely for play) or mannequins (Class 20 for furniture) are outside the primary scope of toys."
Rum,Alcoholic spirit,Consumption as an alcoholic beverage,Alcoholic rum beverage,"Class 33 is for ""Alcoholic beverages, except beers."" Rum, as an alcoholic spirit, fits this description directly. Cocktails could contain rum, but ""rum"" itself is the spirit. ""Slang for money"" is entirely irrelevant."
Non- chemical fuel additives,Compositions,Enhancing the performance or properties of fuels without chemical reaction,Non-chemical compositions for use as fuel additives,"Class 4 includes ""fuels and illuminants"" and refers to compositions. Additives fall under compositions that modify fuel properties. The ""non-chemical"" aspect indicates they operate physically rather than through chemical reactions. Fuel filters (Class 7) or engines (Class 7) are mechanical parts, not additives themselves."
Life insurance underwriting,Service,Assessing risk and issuing life insurance policies,Life insurance underwriting services,"Class 36 clearly covers ""insurance services."" Underwriting is a core service within the insurance industry. The policy is a financial product, but ""underwriting"" is the service. A medical examination might be part of underwriting but is not the underwriting itself."
Artificial teeth,Prosthetic devices,Replacing natural teeth for dental and medical purposes,"Dental prostheses, namely, artificial teeth","Class 10 explicitly lists ""artificial limbs, eyes and teeth."" This perfectly matches the product. Costume accessories (Class 28 or 25 depending on type) and dental models for teaching (Class 16 or 9 depending on material/purpose) are not covered by this class."
Surgical apparatus and instruments,Medical tools and equipment,Performing surgical procedures,Medical and surgical apparatus and instruments,"Class 10 explicitly starts with ""Surgical, medical, dental and veterinary apparatus and instruments."" This is a direct match. Educational models (Class 16 or 9) and toy instruments (Class 28) are distinct and not covered by this description."
Providing recreation facilities,Service,Operating and making available venues for leisure and entertainment activities,Services for providing recreation facilities,"Class 41 includes ""entertainment; sporting and cultural activities."" ""Providing recreation facilities"" directly aligns with the service aspect of making such places available for these activities. The physical facilities themselves (Class 19 for non-metallic, Class 6 for metallic) or equipment (various classes depending on type) are goods, not services."
Jewellery appraisal,Service,Estimating and reporting the monetary value of jewellery,Jewellery appraisal services,"Class 36 covers ""Financial, monetary and banking services."" Appraisal services, especially for valuable items like jewellery, fall under financial valuation. The report is the output of the service, not the service itself. A tool would be a physical good (e.g., Class 9 for measuring instruments)."
Baking powder,Leavening agent in powder form,Causing baked goods to rise,Baking powder for use as a leavening agent,"Class 30 explicitly lists ""yeast, baking-powder."" This is a direct match. It is not a type of flour (also Class 30, but distinct) or a recipe."
False nails,Artificial cosmetic accessories,Decorating and enhancing the appearance of fingernails or toenails,False nails for cosmetic purposes,"Class 3 covers ""Non-medicated cosmetics and toiletry preparations."" False nails for cosmetic enhancement fit perfectly here. Construction nails (Class 6 for metallic) or medical prosthetics (Class 10) are incorrect."
Sweat shirts,Garment,Wearing as an outer or inner layer for warmth or casual attire,Sweat shirts [clothing],"Class 25 explicitly states ""Clothing, footwear, headwear."" A sweat shirt is a form of clothing. Material (Class 22 for raw, 24 for fabrics) or exercise equipment (Class 28) are incorrect."
Bathing suits,Garment,Wearing for swimming or bathing activities,Bathing suits [swimwear],"Class 25 includes ""Clothing, footwear, headwear."" Bathing suits as garments for swimming fit this description directly. Bathrobes are also clothing, but ""bathing suits"" specifically refers to swimwear. Equipment is not clothing."
Paper diapers,Disposable hygienic articles,Absorbing and containing waste for infants or incontinent individuals,Disposable paper diapers,"Class 5 includes ""sanitary preparations for medical purposes"" and ""food for babies."" While ""diapers"" are not explicitly listed, disposable diapers, especially for babies, are considered sanitary articles often linked with baby care and sometimes medical/hygienic needs. ""Paper diapers"" are a type of disposable hygienic article."
Injectors for engines,Mechanical components,Delivering fuel or other fluids into engines,Fuel injectors for engines [parts of machines],"Class 7 covers ""Motors and engines, except for land vehicles."" Injectors are essential parts of many engines (e.g., internal combustion engines) for fuel delivery. Medical syringes (Class 10) or chemical process injectors (Class 7 if part of a machine, Class 9 if measuring/controlling) are distinct. The context specifies ""for engines."""
Card clothing [parts of carding machines],Machine components,Processing textile fibers in carding machines,"Card clothing, being parts of carding machines","Class 7 lists ""Machines, machine tools."" The bracketed clarification ""[parts of carding machines]"" directly confirms this refers to specialized components for textile machinery. Protective card coverings (Class 16) or apparel (Class 25) are clearly incorrect."
Firing platforms,Support structures,Stabilizing and supporting firearms or artillery during firing,Firing platforms for firearms,"Class 13 is for ""Firearms; ammunition and projectiles; explosives; fireworks."" Firing platforms directly relate to the operation and support of firearms and artillery, which falls within this class as an accessory or part for their effective use. Digital platforms are software (Class 9). Rocket platforms are typically Class 7 (machines) or Class 12 (vehicles) or Class 19 (structures) depending on specific nature, but not firearms."
Bags of textile material for use with trees,Sacks made of textile material,"Transporting, planting, or protecting trees","Textile bags for planting, transporting, or protecting trees","Class 22 includes ""sacks for the transport and storage of materials in bulk."" Textile bags for trees, such as tree root bags or burlap bags for transporting trees, fit this description of sacks for bulk materials or specifically designed textile articles. Decorative bags (Class 24 for fabric, 18 for luggage) or generic gardening bags (Class 18) are less specific. The phrase ""for use with trees"" grounds it."
Mixtures for making water ices,Food preparations in mixture form,Preparing edible water ices,Food mixtures for making water ices,"Class 30 explicitly mentions ""ice cream, sorbets and other edible ices."" Mixtures for making these edible ices are naturally classified with the finished product. The finished product itself is listed, and the mixtures are a preparation for it. Chemicals to freeze water are not food products (Class 1 for industrial chemicals)."
Porcelain ware,Household and kitchen articles made of porcelain,Containing and serving food and beverages; for general household use,"Household and kitchen articles of porcelain, namely, tableware and containers","Class 21 Description: ""Household or kitchen utensils and containers; cookware and tableware... glassware, porcelain and earthenware"". This directly matches the first meaning, indicating porcelain items for domestic use. The other meanings are not covered by this class."
Chucks [parts of machines],Mechanical component,Holding tools or workpieces in machine tools,Mechanical chucks being parts of machines for holding tools or workpieces,"Class 7 Description: ""Machines, machine tools, power-operated tools; motors and engines... machine coupling and transmission components..."". The explicit mention '[parts of machines]' in the term and the Class 7 context confirms the first meaning, referring to mechanical devices for holding workpieces or tools in machinery. The other meanings are unrelated."
Gingerbread,Baked confectionery,Consumption as a food item or dessert,Baked confectionery in the nature of gingerbread,"Class 30 Description: ""Bread, pastries and confectionery; chocolate; ice cream... sugar, honey, treacle; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments; ice (frozen water)"". This description clearly identifies gingerbread as a baked confectionery, aligning with the first meaning. The other meanings are entirely unrelated to food."
Expansion tanks [parts of machines],Machine component,Accommodating changes in fluid volume within closed machine systems,Expansion tanks being parts of machines for accommodating fluid volume changes,"Class 7 Description: ""Machines, machine tools, power-operated tools; motors and engines... machine coupling and transmission components..."". The term explicitly states '[parts of machines]' which, combined with Class 7 (Machines), clearly indicates components of industrial or power-operated machines designed to manage fluid expansion. Recreational vehicle tanks or military tanks are not 'parts of machines' in this context."
"Flavourings, other than essential oils, for beverages",Food additive in liquid or powdered form,Imparting flavor to beverages,Non-essential oil flavourings for use in beverages,"Class 30 Description: ""Coffee, tea, cocoa... bread, pastries and confectionery... sugar, honey... spices... vinegar, sauces and other condiments..."". This class is for food products and condiments. The term explicitly states 'for beverages' and 'other than essential oils', confirming its use as a food additive to flavor drinks, aligning with the first meaning. Aromatherapy oils (Class 3) and e-cigarette liquids (Class 34) are distinct."
Bicycles,Human-powered vehicle,Providing locomotion by land,"Two-wheeled pedal-powered vehicles, namely, bicycles","Class 12 Description: ""Vehicles; apparatus for locomotion by land, air or water"". Bicycles are definitively vehicles used for locomotion by land, fitting perfectly with the first meaning. Motorcycles are motorized vehicles (also Class 12 but distinct), and stationary exercise bikes are not for locomotion (Class 28)."
Steering wheels,Mechanical control device,Directing the movement and course of vehicles,Steering wheels for vehicles,"Class 12 Description: ""Vehicles; apparatus for locomotion by land, air or water"". This class covers vehicles and their essential components for locomotion. Steering wheels are critical parts of vehicles for direction control, thus aligning with the first meaning. Gaming peripherals are Class 9, and purely decorative items would fall into other classes."
Vinegar,Edible acidic liquid,Use as a condiment or in food preparation,Edible vinegar for food and condiment purposes,"Class 30 Description: ""Coffee, tea, cocoa... bread, pastries and confectionery... sugar, honey... spices... vinegar, sauces and other condiments..."". The class explicitly lists 'vinegar' within the context of food and condiments, confirming the first meaning. Cleaning solutions containing vinegar are typically Class 3, and figurative meanings are not covered by NICE."
Loudspeakers,Electro-acoustic transducer device,Reproducing and amplifying sound from electrical signals,Electro-acoustic loudspeakers for reproducing sound,"Class 9 Description: ""Apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data"". Loudspeakers are specifically designed for 'reproducing sound' from electrical signals, aligning perfectly with the first meaning. The other brainstormed meanings are not physical apparatus or are broader systems."
Candelabra [candlesticks],Household decorative article,Holding multiple candles for illumination or decoration,Decorative household candelabra for holding candles,"Class 21 Description: ""Household or kitchen utensils and containers; cookware and tableware... glassware, porcelain and earthenware"". The term explicitly states '[candlesticks]', which are household articles for holding candles, aligning with the first meaning. Electrical light fixtures (Class 11) or chandeliers (Class 11) are different categories."
Installations for heating swimming pools,Heating apparatus and components forming a system,Increasing and maintaining the temperature of swimming pool water,Heating installations specifically for swimming pools,"Class 11 Description: ""Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply and sanitary purposes"". This class directly covers 'heating installations'. The specific phrase 'for heating swimming pools' precisely defines the purpose within this class, matching the first meaning. Heating buildings (broader, also Class 11) or pool covers (typically Class 22) are distinct."
Transport,Service,Moving goods and people from one location to another,Transportation services,"Class 39 Description: ""Transport; packaging and storage of goods; travel arrangement"". The class description itself is a services class, and 'Transport' is listed as a primary service. This clearly refers to the service of moving goods or people, not the physical vehicles (which would be Class 12) or a descriptive method."
Hammocks,Suspended fabric or netting article,Providing a suspended resting or sleeping surface,Suspended fabric or netting hammocks for resting,"Class 22 Description: ""Ropes and string; nets; tents and tarpaulins; awnings of textile or synthetic materials; sails; sacks for the transport and storage of materials in bulk; padding, cushioning and stuffing materials..."". Hammocks are suspended articles, typically made of textile or netting, for resting, which fits within the general scope of textile or rope-based articles in Class 22, aligning with the first meaning. Fishing nets are also in Class 22, but hammocks have a distinct purpose."
Paper,Sheet material primarily composed of cellulose fibers,"Writing, printing, drawing, wrapping, or packaging",Unprocessed or semi-processed paper in sheet form,"Class 16 Description: ""Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites..."". The class directly lists 'Paper' as a primary material category. This confirms the first meaning as the raw or semi-processed material. An academic essay is a type of printed matter (also Class 16 but not the material itself), and wallpaper is a specific application (Class 27 for wall coverings generally, though paper wallpaper could be 16)."
Jellies for food,Preserved fruit product with a gelatinous consistency,"Consumption as a food item, typically as a spread or dessert",Edible fruit jellies for food,"Class 29 Description: ""Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food"". The class explicitly includes 'jellies, jams, compotes' within a food context. The term further specifies 'for food', definitively confirming the first meaning. Hair jellies (Class 3) and explosives (Class 13) are clearly distinct."
Lamp holders,Electrical or mechanical component,Securing and providing electrical connection to lamps,Electrical lamp holders for securing and connecting lamps,"Class 11 Description: ""Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply and sanitary purposes"". Lamp holders are essential components of lighting apparatus, falling under the 'lighting apparatus and installations' part of Class 11, aligning with the first meaning. Decorative stands might be Class 20, but not if they are integral parts of electrical lighting apparatus."
"Vegetables, fresh",Unprocessed plant produce,Consumption as food in its raw state,Raw and unprocessed fresh vegetables,"Class 31 Description: ""Raw and unprocessed agricultural, aquacultural, horticultural and forestry products; raw and unprocessed grains and seeds; fresh fruits and vegetables, fresh herbs; natural plants and flowers..."". The class explicitly includes 'fresh fruits and vegetables', confirming the first meaning. Frozen or canned vegetables are processed (Class 29), and figurative meanings are not covered by NICE."
Glucose syrups for food,Edible viscous liquid sweetener,Sweetening and as an ingredient in food products,Edible glucose syrups for use in food,"Class 30 Description: ""Coffee, tea, cocoa... bread, pastries and confectionery... chocolate; ice cream... sugar, honey, treacle..."". This class is for food and food-related items. The term explicitly specifies 'for food', which clearly distinguishes it from medical (Class 5) or industrial non-food uses (various classes depending on chemical nature or application), aligning with the first meaning."
Financial analysis,Professional service,Evaluating financial data and performance to provide insights and recommendations,Professional financial analysis services,"Class 36 Description: ""Financial, monetary and banking services; insurance services; real estate services"". This class is entirely dedicated to services. Financial analysis is an intellectual service involving the evaluation of financial data and performance, aligning with the first meaning. Software (Class 9) or a written report (Class 16) are distinct from the service itself."
Cartridges for filtering machines,Replaceable machine component,Filtering liquids or gases within filtering machines,Replaceable cartridges for use in filtering machines,"Class 7 Description: ""Machines, machine tools, power-operated tools; motors and engines..."". This class covers machines and their parts. The term specifies 'for filtering machines', indicating these are components of such machines designed for filtration, aligning with the first meaning. Ammunition (Class 13) and ink cartridges (Class 2 or Class 16, depending on the contents) are unrelated to filtering machines."
Production of audio-visual recordings,Service,Creating audio-visual content for entertainment or educational purposes,Audio-visual recording production services,"Class 41 is described as 'Education; providing of training; entertainment; sporting and cultural activities'. Meaning #1, the service of creating audio-visual content, aligns perfectly with entertainment and cultural activities. Meaning #2 relates to manufacturing, which is not Class 41. Meaning #3 is too specific for the general term of the service itself. Therefore, the service aspect of production is correct."
Arranging and conducting of conferences,Service,Organizing and managing professional or educational conferences,Conference arrangement and conducting services,"Class 41 covers services like 'Education; providing of training; entertainment; sporting and cultural activities'. Meaning #1, the organizational services, is a direct fit for this class as conferences often relate to education or cultural activities. Meaning #2 describes the event itself, not the service of organizing it. Meaning #3 is a sub-activity of conference services, not the core service described."
"Diagnostic apparatus, not for medical purposes",Apparatus and instruments (physical devices),"Detecting, testing, or inspecting for non-medical purposes",Scientific diagnostic apparatus for non-medical purposes,"Class 9 includes 'Scientific, research, ...detecting, testing, inspecting apparatus and instruments'. The phrase 'not for medical purposes' clarifies the scope. Meanings #1 and #2 align well with scientific and industrial testing/inspection apparatus. Meaning #3, software, could be in Class 9, but 'apparatus' specifically implies physical hardware. The focus is on physical instruments for non-medical diagnostics."
Duffel bags,Carrying bag,"Transporting personal belongings, especially for travel or sports",Cylindrical canvas or fabric carrying bags [duffel bags],"Class 18 includes 'luggage and carrying bags'. Meaning #1, large cylindrical travel bags, perfectly matches this description. Meaning #2 refers to a material, not the finished product. Meaning #3 is too specific, as 'duffel bags' are primarily classified as carrying bags regardless of their specific end-user context."
Flour,Milled grain product,Used as an ingredient for baking and cooking,Milled grain flour for food preparation,"Class 30 explicitly lists 'flour and preparations made from cereals'. Meaning #1, milled grain powder for baking, is a direct and accurate interpretation that fits the class. Meaning #2 is true but less specific for classification. Meaning #3 is entirely irrelevant and incorrect for a NICE classification."
Pitch,Viscous bituminous substance,"Used as a sealing, waterproofing, or binding agent in construction",Bituminous pitch for building and construction,"Class 19 includes 'asphalt, pitch, tar and bitumen'. Meaning #1, a dark, sticky substance used in construction, is a direct and accurate match for this class description as a building material. Meanings #2 and #3 are completely unrelated to building materials and are therefore incorrect."
Photographic apparatus and instruments,Devices and tools,"Capturing, processing, or displaying photographic images",Optical apparatus and instruments for photographic purposes,"Class 9 explicitly includes 'photographic, cinematographic, audiovisual, optical... apparatus and instruments'. Meaning #1, cameras and related equipment, is a direct and precise fit for the description of physical apparatus and instruments. Meaning #2 refers to services (Class 41 or 42). Meaning #3 refers to chemicals (Class 1 or 3), not apparatus."
Tiles of glass,Building material (flat pieces of glass),Used for covering surfaces in construction or decoration,Glass tiles for building and construction,"Class 19 covers 'Materials, not of metal, for building and construction'. Glass tiles are clearly a type of building material for surfaces. Meaning #1 is the most accurate. Meaning #2 could be too broad if not specifically for building, but 'tiles' implies structural or surface application. Meaning #3 refers to containers, which are not building materials."
Records [sound recordings],Recorded media (physical or digital carrier of sound),Storing and reproducing audible information,Recorded media featuring sound recordings,"Class 9 explicitly mentions 'recorded and downloadable media, computer software, blank digital or analogue recording and storage media' and 'apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data'. The clarification '[sound recordings]' confirms that meanings #1 (physical media like vinyl) and #2 (any form of recorded audio) are correct within this class. Meaning #3 is unrelated to recorded sound media."
Drying installations,Systems or apparatus,Removing moisture from materials or objects through heating or air circulation,Industrial and domestic drying installations and apparatus,"Class 11 includes 'Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply and sanitary purposes'. This explicitly covers all types of drying systems, whether industrial or domestic. Meanings #1, #2, and #3 are all valid examples that fit the scope of drying installations. The term 'installations' suggests a complete system."
Sandwiches,Prepared food item,Consumed as a meal or snack,Prepared sandwiches for consumption,"Class 30 is dedicated to foodstuffs, including 'bread, pastries and confectionery' and 'preparations made from cereals'. Meaning #1, food items consisting of bread with fillings, is a direct and accurate fit for an edible product in this class. Meaning #3 further emphasizes its consumption. Meaning #2 is irrelevant to the food classification."
"Hydraulic controls for machines, motors and engines",Control mechanisms (components),"Regulating the operation of machines, motors, and engines using hydraulic power","Hydraulic control mechanisms for industrial machines, motors, and engines (excluding land vehicles)","Class 7 covers 'Machines, machine tools, power-operated tools; motors and engines, except for land vehicles; machine coupling and transmission components'. Hydraulic controls are essential components for regulating the operation of such machinery. Meanings #1 and #2 are correct interpretations. Meaning #3 is partially incorrect as the class specifically excludes motors for land vehicles, making general vehicle parts ambiguous without further context."
Debit card services,Financial service,Facilitating electronic payments and withdrawals from bank accounts,Financial services relating to debit card transactions,"Class 36 is explicitly described as 'Financial, monetary and banking services'. Meaning #1, financial transaction services using debit cards, perfectly aligns with banking and monetary services. Meaning #2 (physical cards) would typically fall under Class 9 (magnetic/recorded data carriers) or Class 16 (printed matter). Meaning #3 would be a manufacturing service (Class 40)."
Drying agents for dishwashing machines,Chemical preparation,Promoting faster and spot-free drying of dishes in dishwashing machines,Chemical drying agents for use in dishwashing machines,"Class 3 covers 'Cleaning, polishing, scouring and abrasive preparations'. Drying agents used in dishwashing machines are chemical preparations that assist in the cleaning process. Meaning #1, chemical rinse aids, is a precise fit for this class. Meaning #2 (machine components) would be Class 7 or 11. Meaning #3 (cloths) would be Class 21 or 24."
Feather beds,Type of bedding/mattress component,Providing a soft and comfortable sleeping surface,Mattress toppers or mattresses filled with feathers [feather beds],"Class 20 primarily includes 'Furniture'. A feather bed is a type of mattress or mattress topper, which is a component of a bed and therefore falls under the general category of furniture. Meaning #1 is the most accurate interpretation. Meaning #2 is too literal and impractical. Meaning #3 is too generic, while 'feather beds' specifically refers to a comfort layer for sleeping."
Cinematographic machines and apparatus,Machines and apparatus,"Recording, projecting, or otherwise processing motion pictures",Cinematographic machines and apparatus for film production and projection,"Class 9 explicitly mentions 'photographic, cinematographic, audiovisual... apparatus and instruments'. Meaning #1, equipment for filmmaking like cameras and projectors, is a direct and accurate fit for the description of physical machines and apparatus. Meaning #2 (films) would be 'recorded media' within Class 9 but the term specifies 'machines and apparatus'. Meaning #3 refers to services (Class 41)."
Needle cushions,Haberdashery accessory (pincushion),Safely holding and organizing pins and needles for sewing,Pincushions for storing needles [needle cushions],"Class 26 includes 'pins and needles' and other haberdashery items. A needle cushion, commonly known as a pincushion, is an accessory specifically designed for safely storing pins and needles. Meaning #1 is the correct interpretation. Meanings #2 and #3 are highly unlikely given the context of haberdashery items."
